"FPR","TPR","Study","RepeatTimes","Fold","FeatureCount"
0.615384615384615,1,"PRJEB27928",6,3,50
0.692307692307692,1,"PRJEB27928",6,3,50
0.769230769230769,1,"PRJEB27928",6,3,50
1,1,"PRJEB27928",6,3,50
0,0,"PRJEB27928",6,2,50
0,0.0833333333333333,"PRJEB27928",6,2,50
0,0.166666666666667,"PRJEB27928",6,2,50
0,0.25,"PRJEB27928",6,2,50
0,0.333333333333333,"PRJEB27928",6,2,50
0,0.416666666666667,"PRJEB27928",6,2,50
0,0.5,"PRJEB27928",6,2,50
0,0.583333333333333,"PRJEB27928",6,2,50
0,0.666666666666667,"PRJEB27928",6,2,50
0,0.75,"PRJEB27928",6,2,50
0,0.833333333333333,"PRJEB27928",6,2,50
0,0.916666666666667,"PRJEB27928",6,2,50
0.0769230769230769,0.916666666666667,"PRJEB27928",6,2,50
0.153846153846154,0.916666666666667,"PRJEB27928",6,2,50
0.153846153846154,1,"PRJEB27928",6,2,50
0.230769230769231,1,"PRJEB27928",6,2,50
0.307692307692308,1,"PRJEB27928",6,2,50
0.384615384615385,1,"PRJEB27928",6,2,50
0.461538461538462,1,"PRJEB27928",6,2,50
0.538461538461538,1,"PRJEB27928",6,2,50
0.615384615384615,1,"PRJEB27928",6,2,50
0.692307692307692,1,"PRJEB27928",6,2,50
0.769230769230769,1,"PRJEB27928",6,2,50
0.846153846153846,1,"PRJEB27928",6,2,50
0.923076923076923,1,"PRJEB27928",6,2,50
1,1,"PRJEB27928",6,2,50
0,0,"PRJEB27928",6,1,50
0,0.166666666666667,"PRJEB27928",6,1,50
0,0.25,"PRJEB27928",6,1,50
0,0.333333333333333,"PRJEB27928",6,1,50
0,0.416666666666667,"PRJEB27928",6,1,50
0,0.5,"PRJEB27928",6,1,50
0,0.666666666666667,"PRJEB27928",6,1,50
0,0.75,"PRJEB27928",6,1,50
0,0.833333333333333,"PRJEB27928",6,1,50
0,0.916666666666667,"PRJEB27928",6,1,50
0.0769230769230769,0.916666666666667,"PRJEB27928",6,1,50
0.0769230769230769,1,"PRJEB27928",6,1,50
0.153846153846154,1,"PRJEB27928",6,1,50
0.230769230769231,1,"PRJEB27928",6,1,50
0.307692307692308,1,"PRJEB27928",6,1,50
0.384615384615385,1,"PRJEB27928",6,1,50
0.461538461538462,1,"PRJEB27928",6,1,50
0.538461538461538,1,"PRJEB27928",6,1,50
0.615384615384615,1,"PRJEB27928",6,1,50
0.692307692307692,1,"PRJEB27928",6,1,50
0.769230769230769,1,"PRJEB27928",6,1,50
0.923076923076923,1,"PRJEB27928",6,1,50
1,1,"PRJEB27928",6,1,50
0,0,"PRJEB27928",5,5,50
0,0.0833333333333333,"PRJEB27928",5,5,50
0,0.166666666666667,"PRJEB27928",5,5,50
0,0.25,"PRJEB27928",5,5,50
0,0.333333333333333,"PRJEB27928",5,5,50
0,0.416666666666667,"PRJEB27928",5,5,50
0,0.5,"PRJEB27928",5,5,50
0,0.583333333333333,"PRJEB27928",5,5,50
0,0.666666666666667,"PRJEB27928",5,5,50
0,0.75,"PRJEB27928",5,5,50
0,0.833333333333333,"PRJEB27928",5,5,50
0,0.916666666666667,"PRJEB27928",5,5,50
0.0769230769230769,0.916666666666667,"PRJEB27928",5,5,50
0.0769230769230769,1,"PRJEB27928",5,5,50
0.153846153846154,1,"PRJEB27928",5,5,50
0.230769230769231,1,"PRJEB27928",5,5,50
0.307692307692308,1,"PRJEB27928",5,5,50
0.384615384615385,1,"PRJEB27928",5,5,50
0.461538461538462,1,"PRJEB27928",5,5,50
0.538461538461538,1,"PRJEB27928",5,5,50
0.615384615384615,1,"PRJEB27928",5,5,50
0.692307692307692,1,"PRJEB27928",5,5,50
0.769230769230769,1,"PRJEB27928",5,5,50
0.846153846153846,1,"PRJEB27928",5,5,50
1,1,"PRJEB27928",5,5,50
0,0,"PRJEB27928",5,4,50
0,0.0833333333333333,"PRJEB27928",5,4,50
0,0.166666666666667,"PRJEB27928",5,4,50
0,0.25,"PRJEB27928",5,4,50
0,0.333333333333333,"PRJEB27928",5,4,50
0,0.416666666666667,"PRJEB27928",5,4,50
0,0.5,"PRJEB27928",5,4,50
0,0.583333333333333,"PRJEB27928",5,4,50
0,0.666666666666667,"PRJEB27928",5,4,50
0,0.75,"PRJEB27928",5,4,50
0,0.833333333333333,"PRJEB27928",5,4,50
0.0769230769230769,0.833333333333333,"PRJEB27928",5,4,50
0.153846153846154,0.833333333333333,"PRJEB27928",5,4,50
0.153846153846154,0.916666666666667,"PRJEB27928",5,4,50
0.153846153846154,1,"PRJEB27928",5,4,50
0.230769230769231,1,"PRJEB27928",5,4,50
0.307692307692308,1,"PRJEB27928",5,4,50
0.384615384615385,1,"PRJEB27928",5,4,50
0.461538461538462,1,"PRJEB27928",5,4,50
0.538461538461538,1,"PRJEB27928",5,4,50
0.615384615384615,1,"PRJEB27928",5,4,50
0.692307692307692,1,"PRJEB27928",5,4,50
0.769230769230769,1,"PRJEB27928",5,4,50
0.846153846153846,1,"PRJEB27928",5,4,50
0.923076923076923,1,"PRJEB27928",5,4,50
1,1,"PRJEB27928",5,4,50
0,0,"PRJEB27928",5,3,50
0,0.0833333333333333,"PRJEB27928",5,3,50
0,0.166666666666667,"PRJEB27928",5,3,50
0,0.25,"PRJEB27928",5,3,50
0,0.333333333333333,"PRJEB27928",5,3,50
0,0.416666666666667,"PRJEB27928",5,3,50
0,0.5,"PRJEB27928",5,3,50
0,0.583333333333333,"PRJEB27928",5,3,50
0,0.75,"PRJEB27928",5,3,50
0,0.833333333333333,"PRJEB27928",5,3,50
0.0769230769230769,0.833333333333333,"PRJEB27928",5,3,50
0.153846153846154,0.833333333333333,"PRJEB27928",5,3,50
0.153846153846154,0.916666666666667,"PRJEB27928",5,3,50
0.153846153846154,1,"PRJEB27928",5,3,50
0.230769230769231,1,"PRJEB27928",5,3,50
0.307692307692308,1,"PRJEB27928",5,3,50
0.384615384615385,1,"PRJEB27928",5,3,50
0.461538461538462,1,"PRJEB27928",5,3,50
0.538461538461538,1,"PRJEB27928",5,3,50
0.615384615384615,1,"PRJEB27928",5,3,50
0.692307692307692,1,"PRJEB27928",5,3,50
0.769230769230769,1,"PRJEB27928",5,3,50
0.846153846153846,1,"PRJEB27928",5,3,50
0.923076923076923,1,"PRJEB27928",5,3,50
1,1,"PRJEB27928",5,3,50
0,0,"PRJEB27928",5,2,50
0,0.0833333333333333,"PRJEB27928",5,2,50
0,0.166666666666667,"PRJEB27928",5,2,50
0,0.25,"PRJEB27928",5,2,50
0,0.333333333333333,"PRJEB27928",5,2,50
0,0.416666666666667,"PRJEB27928",5,2,50
0,0.5,"PRJEB27928",5,2,50
0,0.583333333333333,"PRJEB27928",5,2,50
0,0.666666666666667,"PRJEB27928",5,2,50
0,0.75,"PRJEB27928",5,2,50
0,0.833333333333333,"PRJEB27928",5,2,50
0.0769230769230769,0.833333333333333,"PRJEB27928",5,2,50
0.0769230769230769,0.916666666666667,"PRJEB27928",5,2,50
0.0769230769230769,1,"PRJEB27928",5,2,50
0.153846153846154,1,"PRJEB27928",5,2,50
0.230769230769231,1,"PRJEB27928",5,2,50
0.307692307692308,1,"PRJEB27928",5,2,50
0.384615384615385,1,"PRJEB27928",5,2,50
0.538461538461538,1,"PRJEB27928",5,2,50
0.615384615384615,1,"PRJEB27928",5,2,50
0.692307692307692,1,"PRJEB27928",5,2,50
0.769230769230769,1,"PRJEB27928",5,2,50
0.846153846153846,1,"PRJEB27928",5,2,50
1,1,"PRJEB27928",5,2,50
0,0,"PRJEB27928",5,1,50
0,0.0833333333333333,"PRJEB27928",5,1,50
0,0.166666666666667,"PRJEB27928",5,1,50
0,0.25,"PRJEB27928",5,1,50
0,0.333333333333333,"PRJEB27928",5,1,50
0,0.416666666666667,"PRJEB27928",5,1,50
0,0.5,"PRJEB27928",5,1,50
0,0.583333333333333,"PRJEB27928",5,1,50
0,0.666666666666667,"PRJEB27928",5,1,50
0,0.75,"PRJEB27928",5,1,50
0.0769230769230769,0.75,"PRJEB27928",5,1,50
0.0769230769230769,0.833333333333333,"PRJEB27928",5,1,50
0.153846153846154,0.833333333333333,"PRJEB27928",5,1,50
0.153846153846154,0.916666666666667,"PRJEB27928",5,1,50
0.230769230769231,0.916666666666667,"PRJEB27928",5,1,50
0.230769230769231,1,"PRJEB27928",5,1,50
0.307692307692308,1,"PRJEB27928",5,1,50
0.384615384615385,1,"PRJEB27928",5,1,50
0.461538461538462,1,"PRJEB27928",5,1,50
0.538461538461538,1,"PRJEB27928",5,1,50
0.615384615384615,1,"PRJEB27928",5,1,50
0.692307692307692,1,"PRJEB27928",5,1,50
0.769230769230769,1,"PRJEB27928",5,1,50
0.846153846153846,1,"PRJEB27928",5,1,50
0.923076923076923,1,"PRJEB27928",5,1,50
1,1,"PRJEB27928",5,1,50
0,0,"PRJEB27928",4,5,50
0,0.0833333333333333,"PRJEB27928",4,5,50
0,0.166666666666667,"PRJEB27928",4,5,50
0,0.25,"PRJEB27928",4,5,50
0,0.333333333333333,"PRJEB27928",4,5,50
0,0.416666666666667,"PRJEB27928",4,5,50
0,0.5,"PRJEB27928",4,5,50
0,0.583333333333333,"PRJEB27928",4,5,50
0,0.666666666666667,"PRJEB27928",4,5,50
0,0.75,"PRJEB27928",4,5,50
0,0.833333333333333,"PRJEB27928",4,5,50
0.0769230769230769,0.833333333333333,"PRJEB27928",4,5,50
0.0769230769230769,0.916666666666667,"PRJEB27928",4,5,50
0.153846153846154,0.916666666666667,"PRJEB27928",4,5,50
0.153846153846154,1,"PRJEB27928",4,5,50
0.307692307692308,1,"PRJEB27928",4,5,50
0.384615384615385,1,"PRJEB27928",4,5,50
0.461538461538462,1,"PRJEB27928",4,5,50
0.538461538461538,1,"PRJEB27928",4,5,50
0.615384615384615,1,"PRJEB27928",4,5,50
0.692307692307692,1,"PRJEB27928",4,5,50
0.769230769230769,1,"PRJEB27928",4,5,50
0.846153846153846,1,"PRJEB27928",4,5,50
0.923076923076923,1,"PRJEB27928",4,5,50
1,1,"PRJEB27928",4,5,50
0,0,"PRJEB27928",4,4,50
0,0.0833333333333333,"PRJEB27928",4,4,50
0,0.166666666666667,"PRJEB27928",4,4,50
0,0.25,"PRJEB27928",4,4,50
0,0.333333333333333,"PRJEB27928",4,4,50
0,0.416666666666667,"PRJEB27928",4,4,50
0,0.5,"PRJEB27928",4,4,50
0,0.583333333333333,"PRJEB27928",4,4,50
0,0.666666666666667,"PRJEB27928",4,4,50
0,0.75,"PRJEB27928",4,4,50
0,0.833333333333333,"PRJEB27928",4,4,50
0.0769230769230769,0.833333333333333,"PRJEB27928",4,4,50
0.0769230769230769,0.916666666666667,"PRJEB27928",4,4,50
0.153846153846154,0.916666666666667,"PRJEB27928",4,4,50
0.230769230769231,0.916666666666667,"PRJEB27928",4,4,50
0.230769230769231,1,"PRJEB27928",4,4,50
0.307692307692308,1,"PRJEB27928",4,4,50
0.384615384615385,1,"PRJEB27928",4,4,50
0.461538461538462,1,"PRJEB27928",4,4,50
0.538461538461538,1,"PRJEB27928",4,4,50
0.615384615384615,1,"PRJEB27928",4,4,50
0.692307692307692,1,"PRJEB27928",4,4,50
0.769230769230769,1,"PRJEB27928",4,4,50
0.846153846153846,1,"PRJEB27928",4,4,50
0.923076923076923,1,"PRJEB27928",4,4,50
1,1,"PRJEB27928",4,4,50
0,0,"PRJEB27928",4,3,50
0,0.0833333333333333,"PRJEB27928",4,3,50
0,0.166666666666667,"PRJEB27928",4,3,50
0,0.25,"PRJEB27928",4,3,50
0,0.333333333333333,"PRJEB27928",4,3,50
0,0.416666666666667,"PRJEB27928",4,3,50
0,0.5,"PRJEB27928",4,3,50
0,0.583333333333333,"PRJEB27928",4,3,50
0,0.666666666666667,"PRJEB27928",4,3,50
0,0.75,"PRJEB27928",4,3,50
0,0.833333333333333,"PRJEB27928",4,3,50
0.0769230769230769,0.833333333333333,"PRJEB27928",4,3,50
0.153846153846154,0.833333333333333,"PRJEB27928",4,3,50
0.153846153846154,0.916666666666667,"PRJEB27928",4,3,50
0.153846153846154,1,"PRJEB27928",4,3,50
0.230769230769231,1,"PRJEB27928",4,3,50
0.307692307692308,1,"PRJEB27928",4,3,50
0.384615384615385,1,"PRJEB27928",4,3,50
0.461538461538462,1,"PRJEB27928",4,3,50
0.538461538461538,1,"PRJEB27928",4,3,50
0.615384615384615,1,"PRJEB27928",4,3,50
0.769230769230769,1,"PRJEB27928",4,3,50
0.846153846153846,1,"PRJEB27928",4,3,50
0.923076923076923,1,"PRJEB27928",4,3,50
1,1,"PRJEB27928",4,3,50
0,0,"PRJEB27928",4,2,50
0,0.0833333333333333,"PRJEB27928",4,2,50
0,0.166666666666667,"PRJEB27928",4,2,50
0,0.25,"PRJEB27928",4,2,50
0,0.333333333333333,"PRJEB27928",4,2,50
0,0.416666666666667,"PRJEB27928",4,2,50
0,0.5,"PRJEB27928",4,2,50
0,0.583333333333333,"PRJEB27928",4,2,50
0,0.666666666666667,"PRJEB27928",4,2,50
0.0769230769230769,0.666666666666667,"PRJEB27928",4,2,50
0.153846153846154,0.666666666666667,"PRJEB27928",4,2,50
0.153846153846154,0.75,"PRJEB27928",4,2,50
0.153846153846154,0.833333333333333,"PRJEB27928",4,2,50
0.230769230769231,0.833333333333333,"PRJEB27928",4,2,50
0.307692307692308,0.833333333333333,"PRJEB27928",4,2,50
0.307692307692308,0.916666666666667,"PRJEB27928",4,2,50
0.384615384615385,0.916666666666667,"PRJEB27928",4,2,50
0.461538461538462,0.916666666666667,"PRJEB27928",4,2,50
0.538461538461538,0.916666666666667,"PRJEB27928",4,2,50
0.615384615384615,0.916666666666667,"PRJEB27928",4,2,50
0.692307692307692,0.916666666666667,"PRJEB27928",4,2,50
0.692307692307692,1,"PRJEB27928",4,2,50
0.769230769230769,1,"PRJEB27928",4,2,50
0.923076923076923,1,"PRJEB27928",4,2,50
1,1,"PRJEB27928",4,2,50
0,0,"PRJEB27928",4,1,50
0,0.0833333333333333,"PRJEB27928",4,1,50
0,0.166666666666667,"PRJEB27928",4,1,50
0,0.25,"PRJEB27928",4,1,50
0,0.333333333333333,"PRJEB27928",4,1,50
0,0.416666666666667,"PRJEB27928",4,1,50
0,0.5,"PRJEB27928",4,1,50
0,0.583333333333333,"PRJEB27928",4,1,50
0,0.666666666666667,"PRJEB27928",4,1,50
0,0.75,"PRJEB27928",4,1,50
0.0769230769230769,0.75,"PRJEB27928",4,1,50
0.0769230769230769,0.833333333333333,"PRJEB27928",4,1,50
0.0769230769230769,0.916666666666667,"PRJEB27928",4,1,50
0.0769230769230769,1,"PRJEB27928",4,1,50
0.153846153846154,1,"PRJEB27928",4,1,50
0.307692307692308,1,"PRJEB27928",4,1,50
0.384615384615385,1,"PRJEB27928",4,1,50
0.461538461538462,1,"PRJEB27928",4,1,50
0.538461538461538,1,"PRJEB27928",4,1,50
0.615384615384615,1,"PRJEB27928",4,1,50
0.769230769230769,1,"PRJEB27928",4,1,50
0.846153846153846,1,"PRJEB27928",4,1,50
0.923076923076923,1,"PRJEB27928",4,1,50
1,1,"PRJEB27928",4,1,50
0,0,"PRJEB27928",3,5,50
0,0.0833333333333333,"PRJEB27928",3,5,50
0,0.166666666666667,"PRJEB27928",3,5,50
0,0.25,"PRJEB27928",3,5,50
0,0.333333333333333,"PRJEB27928",3,5,50
0,0.416666666666667,"PRJEB27928",3,5,50
0.0769230769230769,0.416666666666667,"PRJEB27928",3,5,50
0.153846153846154,0.416666666666667,"PRJEB27928",3,5,50
0.153846153846154,0.5,"PRJEB27928",3,5,50
0.153846153846154,0.583333333333333,"PRJEB27928",3,5,50
0.153846153846154,0.666666666666667,"PRJEB27928",3,5,50
0.230769230769231,0.666666666666667,"PRJEB27928",3,5,50
0.230769230769231,0.75,"PRJEB27928",3,5,50
0.230769230769231,0.833333333333333,"PRJEB27928",3,5,50
0.230769230769231,0.916666666666667,"PRJEB27928",3,5,50
0.307692307692308,0.916666666666667,"PRJEB27928",3,5,50
0.384615384615385,0.916666666666667,"PRJEB27928",3,5,50
0.461538461538462,0.916666666666667,"PRJEB27928",3,5,50
0.538461538461538,0.916666666666667,"PRJEB27928",3,5,50
0.538461538461538,1,"PRJEB27928",3,5,50
0.615384615384615,1,"PRJEB27928",3,5,50
0.769230769230769,1,"PRJEB27928",3,5,50
1,1,"PRJEB27928",3,5,50
0,0,"PRJEB27928",3,4,50
0,0.0833333333333333,"PRJEB27928",3,4,50
0,0.166666666666667,"PRJEB27928",3,4,50
0,0.25,"PRJEB27928",3,4,50
0,0.333333333333333,"PRJEB27928",3,4,50
0,0.416666666666667,"PRJEB27928",3,4,50
0,0.5,"PRJEB27928",3,4,50
0,0.583333333333333,"PRJEB27928",3,4,50
0,0.666666666666667,"PRJEB27928",3,4,50
0,0.75,"PRJEB27928",3,4,50
0,0.833333333333333,"PRJEB27928",3,4,50
0.0769230769230769,0.833333333333333,"PRJEB27928",3,4,50
0.0769230769230769,0.916666666666667,"PRJEB27928",3,4,50
0.153846153846154,0.916666666666667,"PRJEB27928",3,4,50
0.153846153846154,1,"PRJEB27928",3,4,50
0.230769230769231,1,"PRJEB27928",3,4,50
0.307692307692308,1,"PRJEB27928",3,4,50
0.384615384615385,1,"PRJEB27928",3,4,50
0.461538461538462,1,"PRJEB27928",3,4,50
0.538461538461538,1,"PRJEB27928",3,4,50
0.615384615384615,1,"PRJEB27928",3,4,50
0.692307692307692,1,"PRJEB27928",3,4,50
0.769230769230769,1,"PRJEB27928",3,4,50
0.846153846153846,1,"PRJEB27928",3,4,50
0.923076923076923,1,"PRJEB27928",3,4,50
1,1,"PRJEB27928",3,4,50
0,0,"PRJEB27928",3,3,50
0,0.0833333333333333,"PRJEB27928",3,3,50
0,0.166666666666667,"PRJEB27928",3,3,50
0,0.333333333333333,"PRJEB27928",3,3,50
0,0.416666666666667,"PRJEB27928",3,3,50
0,0.5,"PRJEB27928",3,3,50
0,0.583333333333333,"PRJEB27928",3,3,50
0,0.666666666666667,"PRJEB27928",3,3,50
0,0.75,"PRJEB27928",3,3,50
0,0.833333333333333,"PRJEB27928",3,3,50
0.0769230769230769,0.833333333333333,"PRJEB27928",3,3,50
0.0769230769230769,0.916666666666667,"PRJEB27928",3,3,50
0.153846153846154,0.916666666666667,"PRJEB27928",3,3,50
0.230769230769231,0.916666666666667,"PRJEB27928",3,3,50
0.307692307692308,0.916666666666667,"PRJEB27928",3,3,50
0.384615384615385,0.916666666666667,"PRJEB27928",3,3,50
0.384615384615385,1,"PRJEB27928",3,3,50
0.461538461538462,1,"PRJEB27928",3,3,50
0.538461538461538,1,"PRJEB27928",3,3,50
0.692307692307692,1,"PRJEB27928",3,3,50
0.769230769230769,1,"PRJEB27928",3,3,50
0.923076923076923,1,"PRJEB27928",3,3,50
1,1,"PRJEB27928",3,3,50
0,0,"PRJEB27928",3,2,50
0,0.0833333333333333,"PRJEB27928",3,2,50
0,0.166666666666667,"PRJEB27928",3,2,50
0,0.25,"PRJEB27928",3,2,50
0,0.333333333333333,"PRJEB27928",3,2,50
0,0.416666666666667,"PRJEB27928",3,2,50
0,0.5,"PRJEB27928",3,2,50
0,0.583333333333333,"PRJEB27928",3,2,50
0,0.666666666666667,"PRJEB27928",3,2,50
0,0.75,"PRJEB27928",3,2,50
0,0.833333333333333,"PRJEB27928",3,2,50
0,0.916666666666667,"PRJEB27928",3,2,50
0,1,"PRJEB27928",3,2,50
0.0769230769230769,1,"PRJEB27928",3,2,50
0.153846153846154,1,"PRJEB27928",3,2,50
0.230769230769231,1,"PRJEB27928",3,2,50
0.307692307692308,1,"PRJEB27928",3,2,50
0.384615384615385,1,"PRJEB27928",3,2,50
0.461538461538462,1,"PRJEB27928",3,2,50
0.538461538461538,1,"PRJEB27928",3,2,50
0.615384615384615,1,"PRJEB27928",3,2,50
0.692307692307692,1,"PRJEB27928",3,2,50
0.769230769230769,1,"PRJEB27928",3,2,50
0.846153846153846,1,"PRJEB27928",3,2,50
0.923076923076923,1,"PRJEB27928",3,2,50
1,1,"PRJEB27928",3,2,50
0,0,"PRJEB27928",3,1,50
0,0.0833333333333333,"PRJEB27928",3,1,50
0,0.166666666666667,"PRJEB27928",3,1,50
0,0.25,"PRJEB27928",3,1,50
0,0.333333333333333,"PRJEB27928",3,1,50
0,0.416666666666667,"PRJEB27928",3,1,50
0,0.583333333333333,"PRJEB27928",3,1,50
0,0.666666666666667,"PRJEB27928",3,1,50
0,0.75,"PRJEB27928",3,1,50
0,0.833333333333333,"PRJEB27928",3,1,50
0.0769230769230769,0.833333333333333,"PRJEB27928",3,1,50
0.0769230769230769,0.916666666666667,"PRJEB27928",3,1,50
0.153846153846154,0.916666666666667,"PRJEB27928",3,1,50
0.153846153846154,1,"PRJEB27928",3,1,50
0.230769230769231,1,"PRJEB27928",3,1,50
0.307692307692308,1,"PRJEB27928",3,1,50
0.384615384615385,1,"PRJEB27928",3,1,50
0.461538461538462,1,"PRJEB27928",3,1,50
0.538461538461538,1,"PRJEB27928",3,1,50
0.615384615384615,1,"PRJEB27928",3,1,50
0.692307692307692,1,"PRJEB27928",3,1,50
0.769230769230769,1,"PRJEB27928",3,1,50
0.846153846153846,1,"PRJEB27928",3,1,50
0.923076923076923,1,"PRJEB27928",3,1,50
1,1,"PRJEB27928",3,1,50
0,0,"PRJEB27928",2,5,50
0,0.0833333333333333,"PRJEB27928",2,5,50
0,0.166666666666667,"PRJEB27928",2,5,50
0,0.25,"PRJEB27928",2,5,50
0,0.333333333333333,"PRJEB27928",2,5,50
0,0.416666666666667,"PRJEB27928",2,5,50
0,0.5,"PRJEB27928",2,5,50
0,0.583333333333333,"PRJEB27928",2,5,50
0,0.666666666666667,"PRJEB27928",2,5,50
0,0.75,"PRJEB27928",2,5,50
0.0769230769230769,0.75,"PRJEB27928",2,5,50
0.0769230769230769,0.833333333333333,"PRJEB27928",2,5,50
0.0769230769230769,0.916666666666667,"PRJEB27928",2,5,50
0.153846153846154,0.916666666666667,"PRJEB27928",2,5,50
0.153846153846154,1,"PRJEB27928",2,5,50
0.230769230769231,1,"PRJEB27928",2,5,50
0.307692307692308,1,"PRJEB27928",2,5,50
0.384615384615385,1,"PRJEB27928",2,5,50
0.461538461538462,1,"PRJEB27928",2,5,50
0.538461538461538,1,"PRJEB27928",2,5,50
0.615384615384615,1,"PRJEB27928",2,5,50
0.692307692307692,1,"PRJEB27928",2,5,50
0.846153846153846,1,"PRJEB27928",2,5,50
0.923076923076923,1,"PRJEB27928",2,5,50
1,1,"PRJEB27928",2,5,50
0,0,"PRJEB27928",2,4,50
0,0.166666666666667,"PRJEB27928",2,4,50
0,0.25,"PRJEB27928",2,4,50
0,0.333333333333333,"PRJEB27928",2,4,50
0,0.416666666666667,"PRJEB27928",2,4,50
0,0.5,"PRJEB27928",2,4,50
0,0.583333333333333,"PRJEB27928",2,4,50
0,0.666666666666667,"PRJEB27928",2,4,50
0,0.75,"PRJEB27928",2,4,50
0,0.916666666666667,"PRJEB27928",2,4,50
0.0769230769230769,0.916666666666667,"PRJEB27928",2,4,50
0.153846153846154,0.916666666666667,"PRJEB27928",2,4,50
0.230769230769231,0.916666666666667,"PRJEB27928",2,4,50
0.307692307692308,0.916666666666667,"PRJEB27928",2,4,50
0.307692307692308,1,"PRJEB27928",2,4,50
0.384615384615385,1,"PRJEB27928",2,4,50
0.461538461538462,1,"PRJEB27928",2,4,50
0.538461538461538,1,"PRJEB27928",2,4,50
0.615384615384615,1,"PRJEB27928",2,4,50
0.692307692307692,1,"PRJEB27928",2,4,50
0.846153846153846,1,"PRJEB27928",2,4,50
0.923076923076923,1,"PRJEB27928",2,4,50
1,1,"PRJEB27928",2,4,50
0,0,"PRJEB27928",2,3,50
0,0.0833333333333333,"PRJEB27928",2,3,50
0,0.166666666666667,"PRJEB27928",2,3,50
0,0.25,"PRJEB27928",2,3,50
0,0.416666666666667,"PRJEB27928",2,3,50
0,0.5,"PRJEB27928",2,3,50
0,0.583333333333333,"PRJEB27928",2,3,50
0,0.666666666666667,"PRJEB27928",2,3,50
0,0.75,"PRJEB27928",2,3,50
0.0769230769230769,0.75,"PRJEB27928",2,3,50
0.153846153846154,0.75,"PRJEB27928",2,3,50
0.230769230769231,0.833333333333333,"PRJEB27928",2,3,50
0.230769230769231,0.916666666666667,"PRJEB27928",2,3,50
0.307692307692308,0.916666666666667,"PRJEB27928",2,3,50
0.384615384615385,0.916666666666667,"PRJEB27928",2,3,50
0.461538461538462,0.916666666666667,"PRJEB27928",2,3,50
0.538461538461538,0.916666666666667,"PRJEB27928",2,3,50
0.538461538461538,1,"PRJEB27928",2,3,50
0.615384615384615,1,"PRJEB27928",2,3,50
0.692307692307692,1,"PRJEB27928",2,3,50
0.769230769230769,1,"PRJEB27928",2,3,50
0.923076923076923,1,"PRJEB27928",2,3,50
1,1,"PRJEB27928",2,3,50
0,0,"PRJEB27928",2,2,50
0,0.0833333333333333,"PRJEB27928",2,2,50
0,0.166666666666667,"PRJEB27928",2,2,50
0,0.25,"PRJEB27928",2,2,50
0,0.333333333333333,"PRJEB27928",2,2,50
0,0.416666666666667,"PRJEB27928",2,2,50
0,0.5,"PRJEB27928",2,2,50
0,0.583333333333333,"PRJEB27928",2,2,50
0,0.666666666666667,"PRJEB27928",2,2,50
0,0.75,"PRJEB27928",2,2,50
0.0769230769230769,0.833333333333333,"PRJEB27928",2,2,50
0.0769230769230769,0.916666666666667,"PRJEB27928",2,2,50
0.0769230769230769,1,"PRJEB27928",2,2,50
0.153846153846154,1,"PRJEB27928",2,2,50
0.230769230769231,1,"PRJEB27928",2,2,50
0.307692307692308,1,"PRJEB27928",2,2,50
0.384615384615385,1,"PRJEB27928",2,2,50
0.461538461538462,1,"PRJEB27928",2,2,50
0.538461538461538,1,"PRJEB27928",2,2,50
0.615384615384615,1,"PRJEB27928",2,2,50
0.692307692307692,1,"PRJEB27928",2,2,50
0.769230769230769,1,"PRJEB27928",2,2,50
0.846153846153846,1,"PRJEB27928",2,2,50
0.923076923076923,1,"PRJEB27928",2,2,50
1,1,"PRJEB27928",2,2,50
0,0,"PRJEB27928",2,1,50
0,0.0833333333333333,"PRJEB27928",2,1,50
0,0.166666666666667,"PRJEB27928",2,1,50
0,0.25,"PRJEB27928",2,1,50
0,0.333333333333333,"PRJEB27928",2,1,50
0,0.416666666666667,"PRJEB27928",2,1,50
0,0.5,"PRJEB27928",2,1,50
0,0.583333333333333,"PRJEB27928",2,1,50
0,0.666666666666667,"PRJEB27928",2,1,50
0,0.75,"PRJEB27928",2,1,50
0.0769230769230769,0.75,"PRJEB27928",2,1,50
0.0769230769230769,0.833333333333333,"PRJEB27928",2,1,50
0.153846153846154,0.833333333333333,"PRJEB27928",2,1,50
0.153846153846154,0.916666666666667,"PRJEB27928",2,1,50
0.230769230769231,0.916666666666667,"PRJEB27928",2,1,50
0.230769230769231,1,"PRJEB27928",2,1,50
0.307692307692308,1,"PRJEB27928",2,1,50
0.384615384615385,1,"PRJEB27928",2,1,50
0.461538461538462,1,"PRJEB27928",2,1,50
0.538461538461538,1,"PRJEB27928",2,1,50
0.615384615384615,1,"PRJEB27928",2,1,50
0.692307692307692,1,"PRJEB27928",2,1,50
0.769230769230769,1,"PRJEB27928",2,1,50
0.923076923076923,1,"PRJEB27928",2,1,50
1,1,"PRJEB27928",2,1,50
0,0,"PRJEB27928",1,5,50
0,0.0833333333333333,"PRJEB27928",1,5,50
